Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,work_id
0.0008111030313972596,0.0008097572587322493,0.0008127731036389734,0.9959466235971275,0.0008087574245362971,0.0008109855845677652,73454846
0.00017352666904317784,0.021181714525345563,0.0001737962438984977,0.9781243680249806,0.0001731303524872851,0.00017346418424498149,73447521
0.4117355173374442,0.0009471155235419353,0.000950010472194593,0.5844718285852599,0.0009461510532808935,0.0009493770282784205,73404586
0.980476857117573,0.0038984768457535706,0.003911303863020578,0.003908244522230395,0.003891462933579136,0.003913654717843243,73398356
0.00015088344763312098,0.0001508739890965373,0.9992454800846083,0.0001511567235874553,0.00015065363805896864,0.00015095211701570622,73189381
0.0011675274780607566,0.0011676733955255467,0.0011713592690080269,0.9941649195845087,0.0011648008127705656,0.001163719460126422,73168956
0.9976053363080852,0.00047900546882630944,0.00047929101667438254,0.00047910684810089044,0.0004782348138509045,0.00047902554446211835,73162251
0.0005548836165758383,0.0005552891693714823,0.000556896278304925,0.0005557659242858385,0.0005550091762046403,0.9972221558352573,73145681
0.03719154684034248,0.0011042204220915268,0.0011091403682770642,0.0011061181398845613,0.0011043090145838163,0.9583846652148205,73128221
0.001372750482007837,0.0013753008331163176,0.001380123422532134,0.9931263499542338,0.0013736748539118465,0.0013718004541980497,73080391
0.002078725954738348,0.0020729977152891916,0.002073981460735865,0.9896346265344568,0.0020639263910400526,0.002075741943739784,73051026
0.9968367296537511,0.0006326641972770359,0.0006325313677592432,0.0006329591165095233,0.0006317008827564153,0.0006334147819467873,73035356
0.24395670440298012,0.0006078718394005825,0.753609948007534,0.00060982803306722,0.0006073043324456486,0.0006083433845725632,73032696
0.9928317565974605,0.0014336076033875135,0.0014339959380713764,0.001434804041652624,0.0014298518302241262,0.0014359839892037949,73011126
0.0009980013144812966,0.0009980759272908602,0.0010010117753521028,0.9950057922071809,0.0009990143776675588,0.0009981043980272447,72684851
0.001802269127600113,0.0018045833358071152,0.0018160614766993238,0.9909682137350565,0.0017979540672057967,0.0018109182576311962,72664191
0.0013322208276014807,0.9933441401547084,0.0013312923024285895,0.0013317806353242657,0.0013285856972704672,0.001331980382666811,72636416
0.0004289635293525516,0.10484483940750655,0.8934419856143136,0.0004284403677579443,0.00042715490796723353,0.0004286161731021151,72635346
0.0002465083315916553,0.0002458136602390604,0.6833315196421075,0.19675549762044084,0.00024528336140184183,0.11917537738421921,72629041
0.00046712724317747654,0.0004656988583466322,0.00046789395294809005,0.9976660670308801,0.0004660627435431058,0.0004671501711045,72624701
0.001032012838511964,0.0010289733351394905,0.0010302902139504599,0.0010300872901881047,0.001028634693809686,0.9948500016284003,72615901
0.0004954871126110028,0.0004945060064039274,0.9975232707406287,0.0004971612496498053,0.0004940958335399123,0.0004954790571665233,72591676
0.000558045606570948,0.0005564827323594493,0.0005580457306340146,0.9972143852602279,0.000556141851431701,0.0005568988187760259,72591531
0.001839736960314494,0.0018439519931167919,0.9907983917266567,0.0018415502181083525,0.0018363169337826167,0.00184005216802113,72535051
0.001048115105671998,0.9947622429819839,0.0010488725970780484,0.001047561986737126,0.0010453924136568182,0.0010478149148719022,72528926
0.0002323495812724624,0.00023202680678414354,0.9988390424575306,0.00023250109499673235,0.00023181419193427005,0.00023226586748183124,72500056
0.0003587262180251073,0.9982063635640194,0.00035926370317813526,0.00035887415131492773,0.0003581716891497327,0.00035860067431276317,72455821
0.0017678465930702559,0.0017702162742289065,0.0017661042059408606,0.0017644489301612894,0.0017595562015449754,0.9911718277950536,72417596
0.00043837765501463253,0.00043836171600546684,0.00043853121384561746,0.00043851043073217776,0.9978084484164119,0.0004377705679902399,72389596
0.001580919618043049,0.0015944403277692815,0.0015864816991593292,0.9920743894316305,0.0015773437001532693,0.0015864252232445338,72287316
0.002058194685864067,0.0020433441490739016,0.9897561212353554,0.002047546842735881,0.002051447502055014,0.002043345584915857,72144451
0.0006978816274248704,0.0006962540002400882,0.0006993708066905008,0.9965123031586762,0.0006962173497540848,0.0006979730572142303,72114536
0.002265081338335938,0.0022635358844836505,0.0022652583862963704,0.0022638076229790304,0.9886774063363276,0.0022649104315776232,72108571
0.001355761050649963,0.0013539669644666655,0.001358680142840607,0.993225064376995,0.0013524047065082744,0.0013541227585394512,72092711
0.9878444864677778,0.0024383275670752593,0.0024311266908493326,0.002426517595172287,0.0024269428594888244,0.0024325988196364245,72078311
0.001998430663254963,0.0019982536755825506,0.002001657526645062,0.001995831333667622,0.0019928493939602083,0.9900129774068895,72071991
0.0025462069366107387,0.0025414365771762428,0.0025391300545167324,0.0025536798237566047,0.002529705125426463,0.9872898414825133,72023176
0.9965653594050146,0.0006867055406978121,0.0006883891541857301,0.0006870468329155359,0.0006851855047861282,0.0006873135624002633,72023136
0.0008683217227061305,0.0008692551030186042,0.9956516920216191,0.0008716035671557825,0.0008683224078792832,0.0008708051776210984,71977016
0.00048765774343077344,0.00048559348210954227,0.6967805919832157,0.30127609639285086,0.0004840782851562229,0.00048598211323686453,71972451
0.0015510703167510996,0.0015640128161891428,0.9922235827931049,0.0015581947656724195,0.001549441506077062,0.0015536978022053605,71961046
0.41517474185554054,0.0001910478292564316,0.5840615607687086,0.0001913276247607534,0.00019042504158275783,0.00019089688015104254,71945241
0.001971705459703976,0.001972184483529353,0.0019751779686370667,0.001975538699985274,0.001967524170720924,0.9901378692174233,71908236
0.9873084391396781,0.0025429998010542917,0.0025383919809826632,0.0025420321182295495,0.0025316357442956372,0.002536501215759538,71907706
0.9912589755708299,0.0017477706115050424,0.0017491929041936576,0.00175448958595409,0.0017432450702859717,0.0017463262572314359,71837786
0.0013102135843944774,0.0013169544477808445,0.9934383381870631,0.001316562488372056,0.0013065886635250457,0.0013113426288645996,71837436
0.0006905564862191882,0.0006916904705561068,0.7862430241195754,0.21099283040878128,0.0006889722780178724,0.0006929262368502377,71825336
0.0004705012013696802,0.0004703874438965178,0.9976487188187381,0.00047158358531974436,0.00046913425853701033,0.00046967469213915437,71813036
0.9951004560760792,0.0009807578366252553,0.000980941939636155,0.0009816691133654161,0.0009784201960775327,0.0009777548382164753,71754236
0.0007649634290813428,0.9961761977244324,0.0007657377238359999,0.0007653718802608125,0.000763611419544066,0.0007641178228455082,71749946
0.00024195067202426742,0.0002416649372457184,0.9987909074737141,0.0002419655404261179,0.00024126469878874647,0.00024224667780097778,71739736
0.00084669996340776,0.9957669908165075,0.0008485684775130469,0.0008476140329980029,0.0008443817859217683,0.0008457449236518518,71681946
0.0010622901882505421,0.0010651435314011752,0.9946844684628151,0.0010671567491403633,0.0010582220761991812,0.0010627189921936175,71677146
0.0004679257989419136,0.9976611023070437,0.00046820607981059507,0.0004681116208288345,0.00046735853200522765,0.00046729566136988253,71654156
0.0017854646841510026,0.9910873111313255,0.0017824299603029507,0.0017859320706506705,0.001778912986189195,0.0017799491673805713,71638646
0.0005209632533117601,0.0005206378642011859,0.0005216841116357771,0.0005211455044897447,0.0005198746080697449,0.9973956946582917,71558071
0.0020523953932346274,0.0020657382606869227,0.9897239770983526,0.0020490947168350588,0.0020560586724849878,0.0020527358584058984,71558041
0.0031590213454229213,0.9841910543998197,0.0031638460591035425,0.00316936626710435,0.0031575649615453705,0.00315914696700423,71427291
0.9864668482507705,0.0027093555984531448,0.0027150831892519974,0.00270109934361111,0.002701074371145637,0.0027065392467675708,71390066
0.0009031661203723606,0.0009014385917788554,0.0009047947841519001,0.9954884485833647,0.0009001315124029993,0.0009020204079291075,71236181
0.0019261785979232207,0.0019252211259934815,0.0019259587753960516,0.0019252793315750016,0.9903741588294175,0.0019232033396948446,71115726
0.001039678988600278,0.001039237939121991,0.001040654321242637,0.0010394663720141905,0.994801549881526,0.0010394124974949638,70679806
0.2307531224110974,0.0003378623980785823,0.21785075577061716,0.5503823221642008,0.0003374788565775439,0.00033845839942856296,70591046
0.00023966465174853557,0.0002391388364626327,0.00023983499021842846,0.0002395883098931327,0.00023877481059346112,0.9988029984010838,69605531
0.4160799136369017,0.00010802027806733161,0.2707867986939322,0.31280934083728906,0.00010782661101603956,0.00010809994279371253,68559456
0.0006261618503214652,0.0006247924840258946,0.9968753049476059,0.0006252713616729901,0.0006238917981364004,0.0006245775582374962,68147881
0.0002986514881449617,0.0683262031924597,0.00029887277280662636,0.9304803543119797,0.00029777566799897104,0.0002981425666099639,60181408
